accuracy,kappa,latency_us,pool_memory_kb,active_memory_kb,final_pool_size,mean_active_size,drift_count,stream,method,seed,wall_time_s
0.831166824832822,0.6494866723115801,226.49638680739127,1232.958984375,1232.958984375,10,10.0,,Electricity,OB,3,44.2569420337677
0.8981483524971862,0.7908535122923546,283.1851496292685,7904.7587890625,7904.7587890625,10,10.0,,Electricity,LB,3,158.04404973983765
0.8861645075147315,0.7662053973792052,224.64069615045935,7344.9775390625,7344.9775390625,10,10.0,,Electricity,ARF,3,72.0012309551239
0.8892542649687714,0.7720552159272642,260.9761975858652,4827.791015625,4827.791015625,10,10.0,,Electricity,SRP,3,159.25108170509338
0.8037783319723687,0.5889156245367604,165.27915046747304,2342.9287109375,2342.9287109375,2,2.3761061946902653,53.0,Electricity,DSPP-Lite,4,24.705464601516724
0.8568118117013529,0.7051747278623638,275.5247774094961,781.203125,781.203125,4,2.3893805309734515,34.0,Electricity,DSPP-Adaptive,4,52.02581262588501
0.8029838229127585,0.5850852711964866,200.55447605527772,6635.36328125,2040.578125,6,2.0,0.0,Electricity,StaticSPP-Lite,4,32.03483843803406
0.857827017721966,0.7071766734269408,302.7581259711528,1070.673828125,516.90234375,6,2.0,0.0,Electricity,StaticSPP-Adaptive,4,61.83161354064941
0.8089647105559357,0.600909053702322,201.5214860083342,6636.189453125,3226.8349609375,6,2.415929203539823,0.0,Electricity,StaticSPPFullSearch-Lite,4,32.81212043762207
0.85659111474035,0.7045825310498204,309.54501211580134,1070.462890625,780.873046875,6,2.358407079646017,0.0,Electricity,StaticSPPFullSearch-Adaptive,4,61.69867205619812
0.8312330339211229,0.6496701608305185,228.08722841590316,1172.0546875,1172.0546875,10,10.0,,Electricity,OB,4,44.46121525764465
0.893955110238132,0.7820700119617512,269.7628526658583,5218.54296875,5218.54296875,10,10.0,,Electricity,LB,4,152.43034148216248
0.8853699984551213,0.7647281592765179,224.58026535967235,10297.9169921875,10297.9169921875,10,10.0,,Electricity,ARF,4,72.27336931228638
0.8878418044183531,0.7692935130336478,263.42133000026723,3218.78515625,3218.78515625,10,10.0,,Electricity,SRP,4,174.03081488609314
